,date,season,holiday,weekday,workingday,weather,casual,registered,count
0,2011-01-01,1,0,6,0,2,331,654,985
1,2011-01-02,1,0,0,0,2,131,670,801
2,2011-01-03,1,0,1,1,1,120,1229,1349
3,2011-01-04,1,0,2,1,1,108,1454,1562
4,2011-01-05,1,0,3,1,1,82,1518,1600
5,2011-01-06,1,0,4,1,1,88,1518,1606
6,2011-01-07,1,0,5,1,2,148,1362,1510
7,2011-01-08,1,0,6,0,2,68,891,959
8,2011-01-09,1,0,0,0,1,54,768,822
9,2011-01-10,1,0,1,1,1,41,1280,1321
10,2011-01-11,1,0,2,1,2,43,1220,1263
11,2011-01-12,1,0,3,1,1,25,1137,1162
12,2011-01-13,1,0,4,1,1,38,1368,1406
13,2011-01-14,1,0,5,1,1,54,1367,1421
14,2011-01-15,1,0,6,0,2,222,1026,1248
15,2011-01-16,1,0,0,0,1,251,953,1204
16,2011-01-17,1,1,1,0,2,117,883,1000
17,2011-01-18,1,0,2,1,2,9,674,683
18,2011-01-19,1,0,3,1,2,78,1572,1650
19,2011-01-20,1,0,4,1,2,83,1844,1927
20,2011-01-21,1,0,5,1,1,75,1468,1543
21,2011-01-22,1,0,6,0,1,93,888,981
22,2011-01-23,1,0,0,0,1,150,836,986
23,2011-01-24,1,0,1,1,1,86,1330,1416
24,2011-01-25,1,0,2,1,2,186,1799,1985
25,2011-01-26,1,0,3,1,3,34,472,506
26,2011-01-27,1,0,4,1,1,15,416,431
27,2011-01-28,1,0,5,1,2,38,1129,1167
28,2011-01-29,1,0,6,0,1,123,975,1098
29,2011-01-30,1,0,0,0,1,140,956,1096
30,2011-01-31,1,0,1,1,2,42,1459,1501
31,2011-02-01,1,0,2,1,2,47,1313,1360
32,2011-02-02,1,0,3,1,2,72,1454,1526
33,2011-02-03,1,0,4,1,1,61,1489,1550
34,2011-02-04,1,0,5,1,2,88,1620,1708
35,2011-02-05,1,0,6,0,2,100,905,1005
36,2011-02-06,1,0,0,0,1,354,1269,1623
37,2011-02-07,1,0,1,1,1,120,1592,1712
38,2011-02-08,1,0,2,1,1,64,1466,1530
39,2011-02-09,1,0,3,1,2,53,1552,1605
40,2011-02-10,1,0,4,1,1,47,1491,1538
41,2011-02-11,1,0,5,1,1,149,1597,1746
42,2011-02-12,1,0,6,0,1,288,1184,1472
43,2011-02-13,1,0,0,0,1,397,1192,1589
44,2011-02-14,1,0,1,1,1,208,1705,1913
45,2011-02-15,1,0,2,1,1,140,1675,1815
46,2011-02-16,1,0,3,1,1,218,1897,2115
47,2011-02-17,1,0,4,1,1,259,2216,2475
48,2011-02-18,1,0,5,1,1,579,2348,2927
49,2011-02-19,1,0,6,0,1,532,1103,1635
50,2011-02-20,1,0,0,0,1,639,1173,1812
51,2011-02-21,1,1,1,0,2,195,912,1107
52,2011-02-22,1,0,2,1,1,74,1376,1450
53,2011-02-23,1,0,3,1,1,139,1778,1917
54,2011-02-24,1,0,4,1,2,100,1707,1807
55,2011-02-25,1,0,5,1,2,120,1341,1461
56,2011-02-26,1,0,6,0,1,424,1545,1969
57,2011-02-27,1,0,0,0,1,694,1708,2402
58,2011-02-28,1,0,1,1,2,81,1365,1446
59,2011-03-01,1,0,2,1,1,137,1714,1851
60,2011-03-02,1,0,3,1,1,231,1903,2134
61,2011-03-03,1,0,4,1,1,123,1562,1685
62,2011-03-04,1,0,5,1,2,214,1730,1944
63,2011-03-05,1,0,6,0,2,640,1437,2077
64,2011-03-06,1,0,0,0,2,114,491,605
65,2011-03-07,1,0,1,1,1,244,1628,1872
66,2011-03-08,1,0,2,1,1,316,1817,2133
67,2011-03-09,1,0,3,1,2,191,1700,1891
68,2011-03-10,1,0,4,1,3,46,577,623
69,2011-03-11,1,0,5,1,2,247,1730,1977
70,2011-03-12,1,0,6,0,1,724,1408,2132
71,2011-03-13,1,0,0,0,1,982,1435,2417
72,2011-03-14,1,0,1,1,1,359,1687,2046
73,2011-03-15,1,0,2,1,2,289,1767,2056
74,2011-03-16,1,0,3,1,2,321,1871,2192
75,2011-03-17,1,0,4,1,1,424,2320,2744
76,2011-03-18,1,0,5,1,1,884,2355,3239
77,2011-03-19,1,0,6,0,1,1424,1693,3117
78,2011-03-20,1,0,0,0,1,1047,1424,2471
79,2011-03-21,2,0,1,1,2,401,1676,2077
80,2011-03-22,2,0,2,1,1,460,2243,2703
81,2011-03-23,2,0,3,1,2,203,1918,2121
82,2011-03-24,2,0,4,1,2,166,1699,1865
83,2011-03-25,2,0,5,1,1,300,1910,2210
84,2011-03-26,2,0,6,0,1,981,1515,2496
85,2011-03-27,2,0,0,0,2,472,1221,1693
86,2011-03-28,2,0,1,1,1,222,1806,2028
87,2011-03-29,2,0,2,1,1,317,2108,2425
88,2011-03-30,2,0,3,1,2,168,1368,1536
89,2011-03-31,2,0,4,1,3,179,1506,1685
90,2011-04-01,2,0,5,1,2,307,1920,2227
91,2011-04-02,2,0,6,0,2,898,1354,2252
92,2011-04-03,2,0,0,0,1,1651,1598,3249
93,2011-04-04,2,0,1,1,1,734,2381,3115
94,2011-04-05,2,0,2,1,2,167,1628,1795
95,2011-04-06,2,0,3,1,1,413,2395,2808
96,2011-04-07,2,0,4,1,1,571,2570,3141
97,2011-04-08,2,0,5,1,2,172,1299,1471
98,2011-04-09,2,0,6,0,2,879,1576,2455
99,2011-04-10,2,0,0,0,2,1188,1707,2895
100,2011-04-11,2,0,1,1,2,855,2493,3348
101,2011-04-12,2,0,2,1,2,257,1777,2034
102,2011-04-13,2,0,3,1,2,209,1953,2162
103,2011-04-14,2,0,4,1,1,529,2738,3267
104,2011-04-15,2,1,5,0,1,642,2484,3126
105,2011-04-16,2,0,6,0,3,121,674,795
106,2011-04-17,2,0,0,0,1,1558,2186,3744
107,2011-04-18,2,0,1,1,1,669,2760,3429
108,2011-04-19,2,0,2,1,2,409,2795,3204
109,2011-04-20,2,0,3,1,1,613,3331,3944
110,2011-04-21,2,0,4,1,1,745,3444,4189
111,2011-04-22,2,0,5,1,2,177,1506,1683
112,2011-04-23,2,0,6,0,2,1462,2574,4036
113,2011-04-24,2,0,0,0,2,1710,2481,4191
114,2011-04-25,2,0,1,1,1,773,3300,4073
115,2011-04-26,2,0,2,1,1,678,3722,4400
116,2011-04-27,2,0,3,1,2,547,3325,3872
117,2011-04-28,2,0,4,1,2,569,3489,4058
118,2011-04-29,2,0,5,1,1,878,3717,4595
119,2011-04-30,2,0,6,0,1,1965,3347,5312
120,2011-05-01,2,0,0,0,2,1138,2213,3351
121,2011-05-02,2,0,1,1,2,847,3554,4401
122,2011-05-03,2,0,2,1,2,603,3848,4451
123,2011-05-04,2,0,3,1,2,255,2378,2633
124,2011-05-05,2,0,4,1,1,614,3819,4433
125,2011-05-06,2,0,5,1,1,894,3714,4608
126,2011-05-07,2,0,6,0,1,1612,3102,4714
127,2011-05-08,2,0,0,0,1,1401,2932,4333
128,2011-05-09,2,0,1,1,1,664,3698,4362
129,2011-05-10,2,0,2,1,1,694,4109,4803
130,2011-05-11,2,0,3,1,1,550,3632,4182
131,2011-05-12,2,0,4,1,1,695,4169,4864
132,2011-05-13,2,0,5,1,2,692,3413,4105
133,2011-05-14,2,0,6,0,2,902,2507,3409
134,2011-05-15,2,0,0,0,2,1582,2971,4553
135,2011-05-16,2,0,1,1,1,773,3185,3958
136,2011-05-17,2,0,2,1,2,678,3445,4123
137,2011-05-18,2,0,3,1,2,536,3319,3855
138,2011-05-19,2,0,4,1,2,735,3840,4575
139,2011-05-20,2,0,5,1,1,909,4008,4917
140,2011-05-21,2,0,6,0,1,2258,3547,5805
141,2011-05-22,2,0,0,0,1,1576,3084,4660
142,2011-05-23,2,0,1,1,2,836,3438,4274
143,2011-05-24,2,0,2,1,2,659,3833,4492
144,2011-05-25,2,0,3,1,1,740,4238,4978
145,2011-05-26,2,0,4,1,1,758,3919,4677
146,2011-05-27,2,0,5,1,1,871,3808,4679
147,2011-05-28,2,0,6,0,1,2001,2757,4758
148,2011-05-29,2,0,0,0,1,2355,2433,4788
149,2011-05-30,2,1,1,0,1,1549,2549,4098
150,2011-05-31,2,0,2,1,1,673,3309,3982
151,2011-06-01,2,0,3,1,2,513,3461,3974
152,2011-06-02,2,0,4,1,1,736,4232,4968
153,2011-06-03,2,0,5,1,1,898,4414,5312
154,2011-06-04,2,0,6,0,1,1869,3473,5342
155,2011-06-05,2,0,0,0,2,1685,3221,4906
156,2011-06-06,2,0,1,1,1,673,3875,4548
157,2011-06-07,2,0,2,1,1,763,4070,4833
158,2011-06-08,2,0,3,1,1,676,3725,4401
159,2011-06-09,2,0,4,1,2,563,3352,3915
160,2011-06-10,2,0,5,1,1,815,3771,4586
161,2011-06-11,2,0,6,0,1,1729,3237,4966
162,2011-06-12,2,0,0,0,1,1467,2993,4460
163,2011-06-13,2,0,1,1,1,863,4157,5020
164,2011-06-14,2,0,2,1,1,727,4164,4891
165,2011-06-15,2,0,3,1,1,769,4411,5180
166,2011-06-16,2,0,4,1,2,545,3222,3767
167,2011-06-17,2,0,5,1,1,863,3981,4844
168,2011-06-18,2,0,6,0,1,1807,3312,5119
169,2011-06-19,2,0,0,0,2,1639,3105,4744
170,2011-06-20,2,0,1,1,2,699,3311,4010
171,2011-06-21,3,0,2,1,2,774,4061,4835
172,2011-06-22,3,0,3,1,1,661,3846,4507
173,2011-06-23,3,0,4,1,2,746,4044,4790
174,2011-06-24,3,0,5,1,1,969,4022,4991
175,2011-06-25,3,0,6,0,1,1782,3420,5202
176,2011-06-26,3,0,0,0,1,1920,3385,5305
177,2011-06-27,3,0,1,1,2,854,3854,4708
178,2011-06-28,3,0,2,1,1,732,3916,4648
179,2011-06-29,3,0,3,1,1,848,4377,5225
180,2011-06-30,3,0,4,1,1,1027,4488,5515
181,2011-07-01,3,0,5,1,1,1246,4116,5362
182,2011-07-02,3,0,6,0,1,2204,2915,5119
183,2011-07-03,3,0,0,0,2,2282,2367,4649
184,2011-07-04,3,1,1,0,2,3065,2978,6043
185,2011-07-05,3,0,2,1,1,1031,3634,4665
186,2011-07-06,3,0,3,1,1,784,3845,4629
187,2011-07-07,3,0,4,1,1,754,3838,4592
188,2011-07-08,3,0,5,1,2,692,3348,4040
189,2011-07-09,3,0,6,0,1,1988,3348,5336
190,2011-07-10,3,0,0,0,1,1743,3138,4881
191,2011-07-11,3,0,1,1,1,723,3363,4086
192,2011-07-12,3,0,2,1,1,662,3596,4258
193,2011-07-13,3,0,3,1,1,748,3594,4342
194,2011-07-14,3,0,4,1,1,888,4196,5084
195,2011-07-15,3,0,5,1,1,1318,4220,5538
196,2011-07-16,3,0,6,0,1,2418,3505,5923
197,2011-07-17,3,0,0,0,1,2006,3296,5302
198,2011-07-18,3,0,1,1,1,841,3617,4458
199,2011-07-19,3,0,2,1,1,752,3789,4541
200,2011-07-20,3,0,3,1,1,644,3688,4332
201,2011-07-21,3,0,4,1,2,632,3152,3784
202,2011-07-22,3,0,5,1,1,562,2825,3387
203,2011-07-23,3,0,6,0,1,987,2298,3285
204,2011-07-24,3,0,0,0,1,1050,2556,3606
205,2011-07-25,3,0,1,1,1,568,3272,3840
206,2011-07-26,3,0,2,1,1,750,3840,4590
207,2011-07-27,3,0,3,1,1,755,3901,4656
208,2011-07-28,3,0,4,1,1,606,3784,4390
209,2011-07-29,3,0,5,1,1,670,3176,3846
210,2011-07-30,3,0,6,0,1,1559,2916,4475
211,2011-07-31,3,0,0,0,1,1524,2778,4302
212,2011-08-01,3,0,1,1,1,729,3537,4266
213,2011-08-02,3,0,2,1,1,801,4044,4845
214,2011-08-03,3,0,3,1,2,467,3107,3574
215,2011-08-04,3,0,4,1,2,799,3777,4576
216,2011-08-05,3,0,5,1,1,1023,3843,4866
217,2011-08-06,3,0,6,0,2,1521,2773,4294
218,2011-08-07,3,0,0,0,1,1298,2487,3785
219,2011-08-08,3,0,1,1,1,846,3480,4326
220,2011-08-09,3,0,2,1,1,907,3695,4602
221,2011-08-10,3,0,3,1,1,884,3896,4780
222,2011-08-11,3,0,4,1,1,812,3980,4792
223,2011-08-12,3,0,5,1,1,1051,3854,4905
224,2011-08-13,3,0,6,0,2,1504,2646,4150
225,2011-08-14,3,0,0,0,2,1338,2482,3820
226,2011-08-15,3,0,1,1,1,775,3563,4338
227,2011-08-16,3,0,2,1,1,721,4004,4725
228,2011-08-17,3,0,3,1,1,668,4026,4694
229,2011-08-18,3,0,4,1,1,639,3166,3805
230,2011-08-19,3,0,5,1,2,797,3356,4153
231,2011-08-20,3,0,6,0,1,1914,3277,5191
232,2011-08-21,3,0,0,0,1,1249,2624,3873
233,2011-08-22,3,0,1,1,1,833,3925,4758
234,2011-08-23,3,0,2,1,1,1281,4614,5895
235,2011-08-24,3,0,3,1,1,949,4181,5130
236,2011-08-25,3,0,4,1,2,435,3107,3542
237,2011-08-26,3,0,5,1,1,768,3893,4661
238,2011-08-27,3,0,6,0,2,226,889,1115
239,2011-08-28,3,0,0,0,1,1415,2919,4334
240,2011-08-29,3,0,1,1,1,729,3905,4634
241,2011-08-30,3,0,2,1,1,775,4429,5204
242,2011-08-31,3,0,3,1,1,688,4370,5058
243,2011-09-01,3,0,4,1,1,783,4332,5115
244,2011-09-02,3,0,5,1,2,875,3852,4727
245,2011-09-03,3,0,6,0,1,1935,2549,4484
246,2011-09-04,3,0,0,0,1,2521,2419,4940
247,2011-09-05,3,1,1,0,2,1236,2115,3351
248,2011-09-06,3,0,2,1,3,204,2506,2710
249,2011-09-07,3,0,3,1,3,118,1878,1996
250,2011-09-08,3,0,4,1,3,153,1689,1842
251,2011-09-09,3,0,5,1,2,417,3127,3544
252,2011-09-10,3,0,6,0,1,1750,3595,5345
253,2011-09-11,3,0,0,0,1,1633,3413,5046
254,2011-09-12,3,0,1,1,1,690,4023,4713
255,2011-09-13,3,0,2,1,1,701,4062,4763
256,2011-09-14,3,0,3,1,1,647,4138,4785
257,2011-09-15,3,0,4,1,2,428,3231,3659
258,2011-09-16,3,0,5,1,2,742,4018,4760
259,2011-09-17,3,0,6,0,2,1434,3077,4511
260,2011-09-18,3,0,0,0,1,1353,2921,4274
261,2011-09-19,3,0,1,1,2,691,3848,4539
262,2011-09-20,3,0,2,1,2,438,3203,3641
263,2011-09-21,3,0,3,1,2,539,3813,4352
264,2011-09-22,3,0,4,1,2,555,4240,4795
265,2011-09-23,4,0,5,1,2,258,2137,2395
266,2011-09-24,4,0,6,0,2,1776,3647,5423
267,2011-09-25,4,0,0,0,2,1544,3466,5010
268,2011-09-26,4,0,1,1,2,684,3946,4630
269,2011-09-27,4,0,2,1,2,477,3643,4120
270,2011-09-28,4,0,3,1,2,480,3427,3907
271,2011-09-29,4,0,4,1,1,653,4186,4839
272,2011-09-30,4,0,5,1,1,830,4372,5202
273,2011-10-01,4,0,6,0,2,480,1949,2429
274,2011-10-02,4,0,0,0,2,616,2302,2918
275,2011-10-03,4,0,1,1,2,330,3240,3570
276,2011-10-04,4,0,2,1,1,486,3970,4456
277,2011-10-05,4,0,3,1,1,559,4267,4826
278,2011-10-06,4,0,4,1,1,639,4126,4765
279,2011-10-07,4,0,5,1,1,949,4036,4985
280,2011-10-08,4,0,6,0,1,2235,3174,5409
281,2011-10-09,4,0,0,0,1,2397,3114,5511
282,2011-10-10,4,1,1,0,1,1514,3603,5117
283,2011-10-11,4,0,2,1,2,667,3896,4563
284,2011-10-12,4,0,3,1,3,217,2199,2416
285,2011-10-13,4,0,4,1,2,290,2623,2913
286,2011-10-14,4,0,5,1,2,529,3115,3644
287,2011-10-15,4,0,6,0,1,1899,3318,5217
288,2011-10-16,4,0,0,0,1,1748,3293,5041
289,2011-10-17,4,0,1,1,1,713,3857,4570
290,2011-10-18,4,0,2,1,2,637,4111,4748
291,2011-10-19,4,0,3,1,3,254,2170,2424
292,2011-10-20,4,0,4,1,1,471,3724,4195
293,2011-10-21,4,0,5,1,1,676,3628,4304
294,2011-10-22,4,0,6,0,1,1499,2809,4308
295,2011-10-23,4,0,0,0,1,1619,2762,4381
296,2011-10-24,4,0,1,1,1,699,3488,4187
297,2011-10-25,4,0,2,1,1,695,3992,4687
298,2011-10-26,4,0,3,1,2,404,3490,3894
299,2011-10-27,4,0,4,1,2,240,2419,2659
300,2011-10-28,4,0,5,1,2,456,3291,3747
301,2011-10-29,4,0,6,0,3,57,570,627
302,2011-10-30,4,0,0,0,1,885,2446,3331
303,2011-10-31,4,0,1,1,1,362,3307,3669
304,2011-11-01,4,0,2,1,1,410,3658,4068
305,2011-11-02,4,0,3,1,1,370,3816,4186
306,2011-11-03,4,0,4,1,1,318,3656,3974
307,2011-11-04,4,0,5,1,2,470,3576,4046
308,2011-11-05,4,0,6,0,1,1156,2770,3926
309,2011-11-06,4,0,0,0,1,952,2697,3649
310,2011-11-07,4,0,1,1,1,373,3662,4035
311,2011-11-08,4,0,2,1,1,376,3829,4205
312,2011-11-09,4,0,3,1,1,305,3804,4109
313,2011-11-10,4,0,4,1,2,190,2743,2933
314,2011-11-11,4,1,5,0,1,440,2928,3368
315,2011-11-12,4,0,6,0,1,1275,2792,4067
316,2011-11-13,4,0,0,0,1,1004,2713,3717
317,2011-11-14,4,0,1,1,1,595,3891,4486
318,2011-11-15,4,0,2,1,2,449,3746,4195
319,2011-11-16,4,0,3,1,3,145,1672,1817
320,2011-11-17,4,0,4,1,2,139,2914,3053
321,2011-11-18,4,0,5,1,1,245,3147,3392
322,2011-11-19,4,0,6,0,1,943,2720,3663
323,2011-11-20,4,0,0,0,2,787,2733,3520
324,2011-11-21,4,0,1,1,3,220,2545,2765
325,2011-11-22,4,0,2,1,3,69,1538,1607
326,2011-11-23,4,0,3,1,2,112,2454,2566
327,2011-11-24,4,1,4,0,1,560,935,1495
328,2011-11-25,4,0,5,1,1,1095,1697,2792
329,2011-11-26,4,0,6,0,1,1249,1819,3068
330,2011-11-27,4,0,0,0,1,810,2261,3071
331,2011-11-28,4,0,1,1,1,253,3614,3867
332,2011-11-29,4,0,2,1,2,96,2818,2914
333,2011-11-30,4,0,3,1,1,188,3425,3613
334,2011-12-01,4,0,4,1,1,182,3545,3727
335,2011-12-02,4,0,5,1,1,268,3672,3940
336,2011-12-03,4,0,6,0,1,706,2908,3614
337,2011-12-04,4,0,0,0,1,634,2851,3485
338,2011-12-05,4,0,1,1,2,233,3578,3811
339,2011-12-06,4,0,2,1,3,126,2468,2594
340,2011-12-07,4,0,3,1,3,50,655,705
341,2011-12-08,4,0,4,1,1,150,3172,3322
342,2011-12-09,4,0,5,1,1,261,3359,3620
343,2011-12-10,4,0,6,0,1,502,2688,3190
344,2011-12-11,4,0,0,0,1,377,2366,2743
345,2011-12-12,4,0,1,1,1,143,3167,3310
346,2011-12-13,4,0,2,1,1,155,3368,3523
347,2011-12-14,4,0,3,1,2,178,3562,3740
348,2011-12-15,4,0,4,1,2,181,3528,3709
349,2011-12-16,4,0,5,1,2,178,3399,3577
350,2011-12-17,4,0,6,0,2,275,2464,2739
351,2011-12-18,4,0,0,0,1,220,2211,2431
352,2011-12-19,4,0,1,1,1,260,3143,3403
353,2011-12-20,4,0,2,1,2,216,3534,3750
354,2011-12-21,1,0,3,1,2,107,2553,2660
355,2011-12-22,1,0,4,1,2,227,2841,3068
356,2011-12-23,1,0,5,1,1,163,2046,2209
357,2011-12-24,1,0,6,0,1,155,856,1011
358,2011-12-25,1,0,0,0,1,303,451,754
359,2011-12-26,1,1,1,0,1,430,887,1317
360,2011-12-27,1,0,2,1,2,103,1059,1162
361,2011-12-28,1,0,3,1,1,255,2047,2302
362,2011-12-29,1,0,4,1,1,254,2169,2423
363,2011-12-30,1,0,5,1,1,491,2508,2999
364,2011-12-31,1,0,6,0,1,665,1820,2485
365,2012-01-01,1,0,0,0,1,686,1608,2294
366,2012-01-02,1,1,1,0,1,244,1707,1951
